"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"GO:0002699 positive regulation of immune effector process",2.85399230749476e-06,4.67407958036392,2.85399230749476e-06,0.000281637149980505,98,2.85399230749476e-06
"GO:0050852 T cell receptor signaling pathway",3.06263096133475e-06,4.67009971612285,3.06263096133473e-06,0.000295509858535897,91,3.06263096133474e-06
"GO:0031294 lymphocyte costimulation",3.34604662346905e-06,4.73392840653266,3.34604662346904e-06,0.000315837705197882,65,3.34604662346905e-06
"GO:0031295 T cell costimulation",3.73958601580451e-06,4.71139465756674,3.73958601580452e-06,0.000345474095332409,64,3.73958601580451e-06
"GO:0032609 interferon-gamma production",4.15633112213159e-06,4.63742885212566,4.1563311221316e-06,0.000375974786089488,75,4.15633112213159e-06
"GO:0006968 cellular defense response",5.66066111733439e-06,4.62669980185576,5.66066111733442e-06,0.000501603889213593,57,5.66066111733439e-06
"GO:0006959 humoral immune response",5.91028456368925e-06,4.51778626917382,5.91028456368925e-06,0.000513249111510775,101,5.91028456368925e-06
"GO:0042100 B cell proliferation",7.21557998965929e-06,4.58704451299212,7.2155799896593e-06,0.000614314672845112,60,7.21557998965929e-06
"GO:0042102 positive regulation of T cell proliferation",1.00783561938444e-05,4.44428787604978,1.00783561938445e-05,0.000841542742186014,66,1.00783561938444e-05
"GO:0001817 regulation of cytokine production",1.12803851434937e-05,4.26578344407412,1.12803851434937e-05,0.000924140231944329,375,1.12803851434937e-05
"GO:0042129 regulation of T cell proliferation",1.1819751539085e-05,4.33780896962146,1.1819751539085e-05,0.000950395577457538,102,1.1819751539085e-05
"GO:0002263 cell activation involved in immune response",1.3424683821974e-05,4.27854687754956,1.34246838219741e-05,0.00104089244919663,132,1.3424683821974e-05
"GO:0002366 leukocyte activation involved in immune response",1.3424683821974e-05,4.27854687754956,1.34246838219741e-05,0.00104089244919663,132,1.3424683821974e-05
"GO:0019724 B cell mediated immunity",1.413639467042e-05,4.30246115713983,1.41363946704201e-05,0.00107684606419235,96,1.413639467042e-05
"GO:0042108 positive regulation of cytokine biosynthetic process",1.43906333543041e-05,4.38585243643248,1.43906333543041e-05,0.00107731258662738,58,1.43906333543041e-05
"GO:0045580 regulation of T cell differentiation",1.89543238201942e-05,4.25529403556702,1.89543238201943e-05,0.00139490972927599,80,1.89543238201942e-05
"GO:0002695 negative regulation of leukocyte activation",2.10710839323449e-05,4.19043727857076,2.10710839323451e-05,0.00152484410723737,108,2.10710839323449e-05
"GO:0032649 regulation of interferon-gamma production",2.35209755979125e-05,4.22476623499672,2.35209755979126e-05,0.00166773560863154,66,2.35209755979125e-05
"GO:0046634 regulation of alpha-beta T cell activation",2.38138202982854e-05,4.25394104434991,2.38138202982855e-05,0.00166773560863154,58,2.38138202982854e-05
"GO:0030888 regulation of B cell proliferation",3.17003672908351e-05,4.22839551655217,3.17003672908353e-05,0.0021848094409017,51,3.17003672908352e-05
"GO:0050671 positive regulation of lymphocyte proliferation",3.42808184675007e-05,4.07996733305064,3.42808184675008e-05,0.00232573927790451,94,3.42808184675007e-05
"GO:0051250 negative regulation of lymphocyte activation",3.51660221698342e-05,4.07703061141,3.51660221698342e-05,0.002347491547891,94,3.51660221698341e-05
"GO:0032946 positive regulation of mononuclear cell proliferation",3.56827365639811e-05,4.06850010881222,3.56827365639811e-05,0.002347491547891,95,3.56827365639811e-05
"GO:0002683 negative regulation of immune system process",3.73815503312086e-05,4.01135906561687,3.73815503312086e-05,0.00242254763489713,176,3.73815503312086e-05
"GO:0045621 positive regulation of lymphocyte differentiation",4.19573562038687e-05,4.07779000269311,4.19573562038688e-05,0.00264432700683774,63,4.19573562038687e-05
"GO:0016064 immunoglobulin mediated immune response",4.20217787820829e-05,4.03156765104834,4.20217787820829e-05,0.00264432700683774,93,4.20217787820829e-05
"GO:0050866 negative regulation of cell activation",5.11009099293185e-05,3.95976267603616,5.11009099293185e-05,0.00316390203534612,117,5.11009099293185e-05
"GO:0070665 positive regulation of leukocyte proliferation",5.17358462712056e-05,3.96977030178764,5.17358462712056e-05,0.00316390203534612,98,5.17358462712056e-05
"GO:0050853 B cell receptor signaling pathway",5.92197661345664e-05,4.22970383153992,5.92197661345663e-05,0.0035712808966151,30,5.92197661345664e-05
"GO:0042035 regulation of cytokine biosynthetic process",6.66979165009496e-05,3.91584167022257,6.66979165009497e-05,0.00396715552667293,90,6.66979165009496e-05
"GO:0002285 lymphocyte activation involved in immune response",7.81192984521369e-05,3.87209683715956,7.8119298452137e-05,0.0045837026199889,89,7.81192984521368e-05
"GO:0042107 cytokine metabolic process",8.40015544031213e-05,3.84065080874611,8.40015544031214e-05,0.00486312998957804,103,8.40015544031213e-05
"GO:0002705 positive regulation of leukocyte mediated immunity",9.48216930994841e-05,3.91115661994354,9.48216930994846e-05,0.00534695833036315,45,9.48216930994841e-05
"GO:0002708 positive regulation of lymphocyte mediated immunity",9.48216930994841e-05,3.91115661994354,9.48216930994846e-05,0.00534695833036315,45,9.48216930994841e-05
"GO:0042089 cytokine biosynthetic process",0.000106555099234173,3.77999501724455,0.000106555099234173,0.00593156719070228,100,0.000106555099234173
"GO:0046632 alpha-beta T cell differentiation",0.000126526647249078,3.77163478655989,0.000126526647249078,0.00695416078931006,69,0.000126526647249078
"GO:0001906 cell killing",0.000149001115849542,3.73003087033485,0.000149001115849543,0.00808703556273392,64,0.000149001115849542
"GO:0032655 regulation of interleukin-12 production",0.00015712810056868,3.76881224979027,0.00015712810056868,0.00842284213171862,42,0.00015712810056868
"GO:0031341 regulation of cell killing",0.00018142222105674,3.78252554832455,0.00018142222105674,0.00960652785156543,35,0.00018142222105674
"GO:0032615 interleukin-12 production",0.000202434882109445,3.68984875731343,0.000202434882109445,0.0105900272062555,43,0.000202434882109445
"GO:0002440 production of molecular mediator of immune response",0.000219815928813246,3.57894706580646,0.000219815928813246,0.0113623900346085,105,0.000219815928813246
"GO:0046633 alpha-beta T cell proliferation",0.000253578754855918,3.79656610685251,0.000253578754855918,0.0129533994539341,22,0.000253578754855918
"GO:0045582 positive regulation of T cell differentiation",0.000267157201452593,3.58386688109666,0.000267157201452594,0.0134883321942693,53,0.000267157201452593
"GO:0045058 T cell selection",0.000273725866669134,3.72884316016721,0.000273725866669134,0.0136611231388204,25,0.000273725866669134
"GO:0032663 regulation of interleukin-2 production",0.000276945508743783,3.61481985528549,0.000276945508743783,0.0136647431700626,40,0.000276945508743783
"GO:0001819 positive regulation of cytokine production",0.000308801215651041,3.45252095640657,0.000308801215651042,0.0148587674678278,198,0.000308801215651041
"GO:0031347 regulation of defense response",0.000309493593254485,3.43643619184287,0.000309493593254485,0.0148587674678278,419,0.000309493593254485
"GO:0032623 interleukin-2 production",0.000311411294235912,3.55453506535572,0.000311411294235912,0.0148587674678278,46,0.000311411294235912
"GO:0050857 positive regulation of antigen receptor-mediated signaling pathway",0.000357883460515721,4.07139986328517,0.00035788346051572,0.0168905433212963,11,0.000357883460515721
"GO:0045061 thymic T cell selection",0.000431305344705797,3.69332170490816,0.000431305344705797,0.0200338656804283,18,0.000431305344705797
"GO:0050871 positive regulation of B cell activation",0.000433713351902409,3.43648020282603,0.000433713351902409,0.0200338656804283,55,0.000433713351902409
"GO:0032653 regulation of interleukin-10 production",0.000456672266182875,3.50582418283072,0.000456672266182874,0.0208723261028004,30,0.000456672266182875
"GO:0001910 regulation of leukocyte mediated cytotoxicity",0.000498282215895564,3.47269708130794,0.000498282215895564,0.0225368893897764,32,0.000498282215895564
"GO:0031349 positive regulation of defense response",0.000522250454151333,3.30035379153493,0.000522250454151332,0.0233774378548978,223,0.000522250454151333
"GO:0001909 leukocyte mediated cytotoxicity",0.000543911456454811,3.38187038918138,0.000543911456454812,0.0240986075910897,48,0.000543911456454811
"GO:0032729 positive regulation of interferon-gamma production",0.000585213499684443,3.42524729320823,0.000585213499684443,0.0256666365215137,30,0.000585213499684443
"GO:0002377 immunoglobulin production",0.000623189360663212,3.30702967547944,0.000623189360663211,0.0268339006377744,71,0.000623189360663212
"GO:0046640 regulation of alpha-beta T cell proliferation",0.000625447924207755,3.53087343911941,0.000625447924207755,0.0268339006377744,19,0.000625447924207755
"GO:0030183 B cell differentiation",0.00063036800208498,3.29632671141802,0.000630368002084981,0.0268339006377744,77,0.00063036800208498
"GO:0050868 negative regulation of T cell activation",0.000648485977823916,3.29070765021658,0.000648485977823917,0.0273371467544801,68,0.000648485977823916
"GO:0002700 regulation of production of molecular mediator of immune response",0.000658934626260206,3.29575085285688,0.000658934626260205,0.0275105206463636,63,0.000658934626260207
"GO:0009617 response to bacterium",0.000701244378571134,3.20869114252243,0.000701244378571133,0.0289981246833891,312,0.000701244378571134
"GO:0043383 negative T cell selection",0.000798088511531767,3.64639776427564,0.000798088511531768,0.032474722951978,12,0.000798088511531767
"GO:0043370 regulation of CD4-positive, alpha-beta T cell differentiation",0.000800275300751185,3.34334712592076,0.000800275300751186,0.032474722951978,28,0.000800275300751185
"GO:0002824 positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.000831243341255593,3.2535030630814,0.000831243341255593,0.0334190609975165,46,0.000831243341255594
"GO:0002821 positive regulation of adaptive immune response",0.000867466202358547,3.23160611037496,0.000867466202358547,0.0345553967948698,49,0.000867466202358547
"GO:2000514 regulation of CD4-positive, alpha-beta T cell activation",0.000890020575575933,3.29279295678516,0.000890020575575932,0.0350455443032008,30,0.000890020575575933
"GO:0042742 defense response to bacterium",0.000895913269842303,3.16129047680473,0.000895913269842304,0.0350455443032008,116,0.000895913269842303
"GO:0002712 regulation of B cell mediated immunity",0.000970476239799803,3.25012740226622,0.000970476239799803,0.0376232842250959,33,0.000970476239799803
"GO:0046635 positive regulation of alpha-beta T cell activation",0.00100126632459736,3.20351905589782,0.00100126632459735,0.0384734370035549,43,0.00100126632459736
"GO:0002456 T cell mediated immunity",0.00102734583405565,3.17408832019381,0.00102734583405565,0.0391292597497336,47,0.00102734583405565
"GO:0046641 positive regulation of alpha-beta T cell proliferation",0.00104663912815186,3.43644586078162,0.00104663912815186,0.0395174529950901,14,0.00104663912815186
"GO:0032613 interleukin-10 production",0.00109060415348781,3.20670899421757,0.00109060415348781,0.0408224416762419,32,0.00109060415348781
"GO:0002286 T cell activation involved in immune response",0.00112873611296807,3.14891337896204,0.00112873611296807,0.0418886513034815,48,0.00112873611296807
"GO:0045076 regulation of interleukin-2 biosynthetic process",0.00125516515403001,3.29022139272642,0.00125516515403001,0.0461858228711719,19,0.00125516515403001
"GO:0042088 T-helper 1 type immune response",0.00129803268123348,3.13137200413265,0.00129803268123348,0.047361831108536,34,0.00129803268123348
"GO:0031343 positive regulation of cell killing",0.00139677695330217,3.15300648091079,0.00139677695330217,0.0505400460936502,28,0.00139677695330216
"GO:0042094 interleukin-2 biosynthetic process",0.00142230024395238,3.19901788551794,0.00142230024395238,0.0510382451176961,22,0.00142230024395238
"GO:0002274 myeloid leukocyte activation",0.00147621721363655,3.00580193434703,0.00147621721363655,0.0525388126361469,115,0.00147621721363655
"GO:0071346 cellular response to interferon-gamma",0.00165021510614491,2.97899796686343,0.00165021510614492,0.0582539348852133,89,0.00165021510614491
"GO:0045088 regulation of innate immune response",0.00170638980815836,2.94442652996769,0.00170638980815836,0.0597511657018033,217,0.00170638980815836
"GO:0043367 CD4-positive, alpha-beta T cell differentiation",0.00177894749611846,3.00358155270552,0.00177894749611846,0.0617935202251709,44,0.00177894749611846
"GO:0002709 regulation of T cell mediated immunity",0.00181506769473627,3.02103943486184,0.00181506769473627,0.0622965217447564,34,0.00181506769473627
"GO:0035710 CD4-positive, alpha-beta T cell activation",0.00182212304504469,2.99104196781193,0.0018221230450447,0.0622965217447564,46,0.00182212304504469
"GO:0070664 negative regulation of leukocyte proliferation",0.0018432485006121,2.98034655216948,0.0018432485006121,0.0625264452317011,54,0.0018432485006121
"GO:0002889 regulation of immunoglobulin mediated immune response",0.00188301286431141,3.02398448674427,0.00188301286431141,0.0633801694328694,32,0.00188301286431141
"GO:0045060 negative thymic T cell selection",0.00190160656279522,3.32485977884608,0.00190160656279522,0.0635136591973605,11,0.00190160656279522
"GO:0032945 negative regulation of mononuclear cell proliferation",0.00199758558502693,2.95843363672125,0.00199758558502694,0.0657084591680831,51,0.00199758558502693
"GO:0050672 negative regulation of lymphocyte proliferation",0.00199758558502693,2.95843363672125,0.00199758558502694,0.0657084591680831,51,0.00199758558502693
"GO:0060333 interferon-gamma-mediated signaling pathway",0.00209078537183312,2.91131113609535,0.00209078537183313,0.0682570683045071,72,0.00209078537183312
"GO:0046637 regulation of alpha-beta T cell differentiation",0.00225829739920186,2.9346242374822,0.00225829739920186,0.0731755769204064,41,0.00225829739920186
"GO:0019221 cytokine-mediated signaling pathway",0.00242079423790246,2.82708042477187,0.00242079423790246,0.0773195425737037,329,0.00242079423790246
"GO:0002292 T cell differentiation involved in immune response",0.00242180050438133,2.91976670737788,0.00242180050438132,0.0773195425737037,36,0.00242180050438133
"GO:0001773 myeloid dendritic cell activation",0.00247837730459368,3.01414447431999,0.00247837730459368,0.0785482792448597,20,0.00247837730459368
"GO:0050830 defense response to Gram-positive bacterium",0.00255557722859852,2.90817767908795,0.00255557722859852,0.0804080893230055,32,0.00255557722859852
"GO:0002710 negative regulation of T cell mediated immunity",0.00261394115943174,3.20822800519553,0.00261394115943175,0.0816527519010981,10,0.00261394115943174
"GO:0032735 positive regulation of interleukin-12 production",0.00268005006963489,2.92364308578148,0.00268005006963489,0.0831198385882479,24,0.00268005006963489
"GO:0071345 cellular response to cytokine stimulus",0.00274047039155456,2.7847998334314,0.00274047039155457,0.0843909392917017,407,0.00274047039155457
"GO:0002287 alpha-beta T cell activation involved in immune response",0.00280433263260773,2.87128472272887,0.00280433263260773,0.0851497362991802,35,0.00280433263260773
"GO:0002293 alpha-beta T cell differentiation involved in immune response",0.00280433263260773,2.87128472272887,0.00280433263260773,0.0851497362991802,35,0.00280433263260773
"GO:0050663 cytokine secretion",0.00286995451862059,2.79608212694921,0.0028699545186206,0.0865371008322961,91,0.00286995451862059
"GO:0050854 regulation of antigen receptor-mediated signaling pathway",0.00303471280680027,2.8876842359567,0.00303471280680027,0.0907798515865498,26,0.00303471280680027
"GO:0050869 negative regulation of B cell activation",0.00305247773644317,2.89947146228122,0.00305247773644318,0.0907798515865498,26,0.00305247773644317
"GO:0002637 regulation of immunoglobulin production",0.00309262991678107,2.85190354170043,0.00309262991678107,0.0913482931881864,33,0.00309262991678107
"GO:0002715 regulation of natural killer cell mediated immunity",0.00312015525261476,2.93633980154207,0.00312015525261477,0.09153860883009,18,0.00312015525261476
"GO:0002455 humoral immune response mediated by circulating immunoglobulin",0.00329090056777341,2.79424678897786,0.00329090056777341,0.0953761708139711,43,0.00329090056777341
"GO:0001776 leukocyte homeostasis",0.00329489304976868,2.77713728015351,0.00329489304976869,0.0953761708139711,55,0.00329489304976869
"GO:0002260 lymphocyte homeostasis",0.00364995326745872,2.75523384480413,0.00364995326745873,0.104954285346396,45,0.00364995326745872
"GO:0030890 positive regulation of B cell proliferation",0.00368948057399317,2.77085326308036,0.00368948057399318,0.105392925343937,35,0.00368948057399318
"GO:0002825 regulation of T-helper 1 type immune response",0.00372552174281598,2.82721677188514,0.00372552174281599,0.105726898086974,20,0.00372552174281598
"GO:0070672 response to interleukin-15",0.00377656309117037,2.99457542488349,0.00377656309117037,0.10647946066144,11,0.00377656309117037
"GO:0034341 response to interferon-gamma",0.00382105957996419,2.6932585926888,0.00382105957996419,0.106893564645747,107,0.00382105957996419
"GO:0001912 positive regulation of leukocyte mediated cytotoxicity",0.00384048735254179,2.79124205708951,0.00384048735254179,0.106893564645747,25,0.00384048735254179
"GO:0002831 regulation of response to biotic stimulus",0.00387948755115021,2.69656973691678,0.00387948755115022,0.107291305395505,85,0.00387948755115021
"GO:0045089 positive regulation of innate immune response",0.00412747980200189,2.65801673091105,0.0041274798020019,0.113427324685394,163,0.00412747980200189
"GO:0050798 activated T cell proliferation",0.00429484214032898,2.72265644254295,0.00429484214032897,0.117284305492506,30,0.00429484214032898
"GO:0043368 positive T cell selection",0.00435955613277012,2.92002522204238,0.00435955613277013,0.118307454553049,11,0.00435955613277012
"GO:0002544 chronic inflammatory response",0.00451270573900688,2.79594209661055,0.00451270573900688,0.121702908812223,19,0.00451270573900688
"GO:0045086 positive regulation of interleukin-2 biosynthetic process",0.00454963146484638,2.89452019640422,0.00454963146484639,0.121941356915821,13,0.00454963146484638
"GO:0071219 cellular response to molecule of bacterial origin",0.00462870468651681,2.62927180016966,0.00462870468651682,0.123299605821203,97,0.00462870468651681
"GO:0051607 defense response to virus",0.00473248765670548,2.60869809058932,0.00473248765670548,0.124702176410567,183,0.00473248765670547
"GO:0050900 leukocyte migration",0.004752907448868,2.60413685146626,0.00475290744886799,0.124702176410567,251,0.004752907448868
"GO:0045066 regulatory T cell differentiation",0.00476751756889777,2.87829986399839,0.00476751756889777,0.124702176410567,12,0.00476751756889777
"GO:0002381 immunoglobulin production involved in immunoglobulin mediated immune response",0.00480170822431001,2.65970879890224,0.00480170822431001,0.12484441383206,41,0.00480170822431001
"GO:0050707 regulation of cytokine secretion",0.00491471596600745,2.61635980858962,0.00491471596600745,0.127022004311931,75,0.00491471596600745
"GO:0030889 negative regulation of B cell proliferation",0.00497700187237175,2.88732530610625,0.00497700187237176,0.127840641794767,13,0.00497700187237175
"GO:0042269 regulation of natural killer cell mediated cytotoxicity",0.00500527616423547,2.75953786661862,0.00500527616423548,0.127840641794767,17,0.00500527616423547
"GO:0032620 interleukin-17 production",0.0050984787324194,2.72068035207436,0.00509847873241941,0.128706945675378,18,0.0050984787324194
"GO:0032660 regulation of interleukin-17 production",0.0050984787324194,2.72068035207436,0.00509847873241941,0.128706945675378,18,0.0050984787324194
"GO:0001914 regulation of T cell mediated cytotoxicity",0.00520188616020514,2.73330222996129,0.00520188616020514,0.130558322009311,17,0.00520188616020515
"GO:0002704 negative regulation of leukocyte mediated immunity",0.00533393368476538,2.82004756281904,0.0053339336847654,0.132342514624294,12,0.00533393368476539
"GO:0002707 negative regulation of lymphocyte mediated immunity",0.00533393368476538,2.82004756281904,0.0053339336847654,0.132342514624294,12,0.00533393368476539
"GO:0002718 regulation of cytokine production involved in immune response",0.00542312829002318,2.61136091341847,0.00542312829002318,0.133205234050595,40,0.00542312829002317
"GO:0030101 natural killer cell activation",0.00543605679276039,2.60696588951312,0.00543605679276039,0.133205234050595,43,0.0054360567927604
"GO:0048535 lymph node development",0.00546073967319342,3.01203951406056,0.00546073967319342,0.133205234050595,10,0.00546073967319342
"GO:0002228 natural killer cell mediated immunity",0.00556559171765977,2.64110235541393,0.00556559171765978,0.1350044650172,28,0.00556559171765977
"GO:0032633 interleukin-4 production",0.0059386558070348,2.61877929074111,0.00593865580703481,0.143253575078584,27,0.0059386558070348
"GO:0033077 T cell differentiation in thymus",0.00637404360214513,2.53059422174458,0.00637404360214513,0.152484859363113,64,0.00637404360214513
"GO:0045622 regulation of T-helper cell differentiation",0.00639158093138795,2.61702040243174,0.00639158093138795,0.152484859363113,22,0.00639158093138794
"GO:0050688 regulation of defense response to virus",0.00718795406107893,2.48302261644725,0.00718795406107893,0.170546975591282,66,0.00718795406107893
"GO:0001913 T cell mediated cytotoxicity",0.00756284172932377,2.55109011211797,0.00756284172932377,0.177995523596224,20,0.00756284172932377
"GO:0002294 CD4-positive, alpha-beta T cell differentiation involved in immune response",0.00764295918404349,2.49825461812794,0.0076429591840435,0.177995523596224,33,0.00764295918404349
"GO:0042093 T-helper cell differentiation",0.00764295918404349,2.49825461812794,0.0076429591840435,0.177995523596224,33,0.00764295918404349
"GO:0097028 dendritic cell differentiation",0.00766585972190092,2.55656644564069,0.00766585972190093,0.177995523596224,18,0.00766585972190092
"GO:0032733 positive regulation of interleukin-10 production",0.00774519187590615,2.57388844303027,0.00774519187590617,0.178880974070131,16,0.00774519187590615
"GO:0002820 negative regulation of adaptive immune response",0.00790926770310778,2.57538321880771,0.00790926770310779,0.181703917285154,16,0.00790926770310778
"GO:0002920 regulation of humoral immune response",0.00796444606010756,2.50069528293151,0.00796444606010756,0.181879954671509,31,0.00796444606010756
"GO:0042267 natural killer cell mediated cytotoxicity",0.00800070735657718,2.50192065137533,0.0080007073565772,0.181879954671509,27,0.00800070735657718
"GO:0009615 response to virus",0.00823010822400905,2.40644926306589,0.00823010822400905,0.186120468274205,259,0.00823010822400905
"GO:0002367 cytokine production involved in immune response",0.00891034525776735,2.41420613129583,0.00891034525776738,0.200459684503762,46,0.00891034525776736
"GO:0002312 B cell activation involved in immune response",0.00923280522890454,2.40722486202767,0.00923280522890455,0.206643506721152,42,0.00923280522890454
"GO:0045577 regulation of B cell differentiation",0.00966092715614997,2.48453481214842,0.00966092715615,0.21511664467694,18,0.00966092715614997
"GO:0000236 mitotic prometaphase",0.00977603508076516,2.35806392035018,0.00977603508076516,0.215254156564892,86,0.00977603508076516
"GO:0002507 tolerance induction",0.00979949388584203,2.48264945285555,0.00979949388584204,0.215254156564892,16,0.00979949388584203
"GO:0071222 cellular response to lipopolysaccharide",0.00981582749881356,2.35423578173215,0.00981582749881358,0.215254156564892,92,0.00981582749881356
"GO:0050706 regulation of interleukin-1 beta secretion",0.0104534006192697,2.43431549968614,0.0104534006192697,0.22728991062969,18,0.0104534006192697
